ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,VPH_C_ELEC,VPH_INTER,VPH_CEL,VPH_STVP,VPH_PC,pct_internet,conectividad_alta
17,Morelos,3,Axochiapan,10,Telixtac,1305.0,207.0,1078.0,180.0,96.0,15.862068965517242,0
17,Morelos,3,Axochiapan,11,Tlalayo,206.0,85.0,172.0,44.0,42.0,41.262135922330096,1
17,Morelos,3,Axochiapan,14,Coayuca Colonia de Morelos,11.0,2.0,10.0,4.0,0.0,18.181818181818183,0
17,Morelos,3,Axochiapan,15,Los Gavilanes,31.0,4.0,25.0,5.0,4.0,12.903225806451612,0
17,Morelos,3,Axochiapan,16,Las Tinajas,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,3,Axochiapan,17,La Nopalera,73.0,18.0,65.0,22.0,7.0,24.65753424657534,0
17,Morelos,3,Axochiapan,18,El Papagayo,34.0,9.0,29.0,3.0,7.0,26.47058823529412,0
17,Morelos,3,Axochiapan,20,La Toma,68.0,12.0,63.0,4.0,13.0,17.647058823529413,0
17,Morelos,3,Axochiapan,21,Colonia los Laureles,45.0,10.0,41.0,12.0,10.0,22.22222222222222,0
17,Morelos,3,Axochiapan,22,La Estación,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,3,Axochiapan,24,El Puente del Pajarito,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,3,Axochiapan,26,5 de Mayo,24.0,6.0,25.0,3.0,1.0,25.0,0
17,Morelos,3,Axochiapan,28,Juan Ortega Sánchez,16.0,4.0,17.0,5.0,1.0,25.0,0
17,Morelos,3,Axochiapan,29,Unidad Habitacional Benito Juárez,42.0,15.0,40.0,13.0,11.0,35.714285714285715,1
17,Morelos,3,Axochiapan,36,Barranca del Ahuehuete,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,3,Axochiapan,37,Campo el Coyul,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,3,Axochiapan,39,Campo el Pajarito (Sistema de Agua Potable),0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,3,Axochiapan,41,Campo la Zacatera,51.0,7.0,46.0,4.0,6.0,13.725490196078432,0
17,Morelos,3,Axochiapan,42,Sistema Uno de Bombeo,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,3,Axochiapan,44,Santa María,2.0,0.0,4.0,0.0,0.0,0.0,0
17,Morelos,3,Axochiapan,45,La Huerta (La Bomba Dos),6.0,0.0,6.0,2.0,0.0,0.0,0
17,Morelos,3,Axochiapan,46,La Joya del Zompa,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,3,Axochiapan,48,Los Linderos (Fábrica de Yeso),5.0,0.0,6.0,0.0,0.0,0.0,0
17,Morelos,3,Axochiapan,49,El Mezquital,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,3,Axochiapan,54,Rancho Cabrera,5.0,0.0,5.0,1.0,1.0,0.0,0
17,Morelos,3,Axochiapan,55,Rancho el Mirador,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,3,Axochiapan,56,Rancho Isaías,9.0,5.0,9.0,5.0,5.0,55.55555555555556,1
17,Morelos,3,Axochiapan,57,Rancho María de Jesús Barrera,22.0,3.0,19.0,7.0,2.0,13.636363636363635,0
17,Morelos,3,Axochiapan,58,Colonia Rubén Carrillo,34.0,18.0,31.0,3.0,9.0,52.94117647058824,1
17,Morelos,3,Axochiapan,59,Campo el Pedregal,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,3,Axochiapan,60,Cuauhtémoc,115.0,23.0,104.0,25.0,13.0,20.0,0
17,Morelos,3,Axochiapan,61,Ampliación Juan González y Año 2000,14.0,2.0,14.0,3.0,4.0,14.285714285714285,0
17,Morelos,3,Axochiapan,63,Campo la Comunidad,9.0,2.0,7.0,1.0,0.0,22.22222222222222,0
17,Morelos,3,Axochiapan,64,Campo la Laguna,28.0,5.0,27.0,12.0,3.0,17.857142857142858,0
