ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,VPH_C_ELEC,VPH_INTER,VPH_CEL,VPH_STVP,VPH_PC
17,Morelos,006,Cuautla,0056,Colonia Polvorín 18 de Septiembre 94,65,40,64,16,20
17,Morelos,006,Cuautla,0059,Reforma,242,58,223,35,55
17,Morelos,006,Cuautla,0062,Tinajas,*,*,*,*,*
17,Morelos,006,Cuautla,0064,Héroe de Nacozari,111,66,99,34,46
17,Morelos,006,Cuautla,0065,Colonia el Sifón,23,11,23,5,5
17,Morelos,006,Cuautla,0073,Los Cerritos,58,25,57,14,19
17,Morelos,006,Cuautla,0077,Jicamán (Colonia el Mirador),125,62,114,27,38
17,Morelos,006,Cuautla,0078,Tierra Larga,717,372,688,210,307
17,Morelos,006,Cuautla,0083,Colonia 12 de Diciembre,154,51,133,19,35
17,Morelos,006,Cuautla,0092,Santa Cruz (Campo Santa Cruz),18,8,16,5,5
17,Morelos,006,Cuautla,0096,Ampliación Santa Cruz,37,21,37,16,14
17,Morelos,006,Cuautla,0098,Ampliación Reforma,30,13,25,1,9
17,Morelos,006,Cuautla,0099,La Esperanza,79,19,72,19,23
17,Morelos,006,Cuautla,0100,La Loma,*,*,*,*,*
17,Morelos,006,Cuautla,0106,Las Vegas,50,5,48,12,2
17,Morelos,006,Cuautla,0107,Colonia Martínez Peña (Los Dos Puentes),50,4,50,14,9
17,Morelos,006,Cuautla,0108,Rancho Santa Teresa,*,*,*,*,*
17,Morelos,006,Cuautla,0109,Campo Partidor Zumpango,94,22,82,20,16
17,Morelos,006,Cuautla,0110,Ampliación Biznaga Uno,177,38,166,30,29
17,Morelos,006,Cuautla,0111,Ampliación Narciso Mendoza,317,141,288,87,101
17,Morelos,006,Cuautla,0113,Campo Ahuehuepan,28,2,27,6,5
17,Morelos,006,Cuautla,0114,Campo Carrizal,3,0,2,0,1
17,Morelos,006,Cuautla,0115,Campo la Calavera,48,18,44,13,14
17,Morelos,006,Cuautla,0118,Las Granjas,4,1,3,1,1
17,Morelos,006,Cuautla,0120,Rancho el Paraíso,8,2,8,0,1
17,Morelos,006,Cuautla,0121,Rancho el Vivero,22,5,21,4,6
17,Morelos,006,Cuautla,0122,Ampliación Hermenegildo Galeana,16,8,14,2,5
17,Morelos,006,Cuautla,0123,Campo el Fresnal,59,12,57,14,7
17,Morelos,006,Cuautla,0124,El Polvorín,111,26,103,23,22
17,Morelos,006,Cuautla,0128,Ampliación Francisco I. Madero,9,1,9,2,2
17,Morelos,006,Cuautla,0129,El Embocadero,*,*,*,*,*
17,Morelos,006,Cuautla,0130,Colonia Ampliación 10 de Abril,159,130,155,46,67
17,Morelos,006,Cuautla,0133,Colonia el Paraíso,97,33,89,26,20
